id,activity_type,transaction_time,type,price,qty,side,symbol,leaves_qty,order_id,cum_qty,order_status
20260303143052678::e8e6d53d-0c85-4109-8d35-f9e4e33d7823,FILL,2026-03-03T19:30:52.678691Z,fill,306.01,1,sell,TER,0,85c3e17a-46c9-4a49-ae24-19dc914454f5,39,filled
20260303143052223::9f1a989e-a924-420c-be13-dde8e0072263,FILL,2026-03-03T19:30:52.223872Z,partial_fill,306.01,1,sell,TER,1,85c3e17a-46c9-4a49-ae24-19dc914454f5,38,partially_filled
20260303143051841::fc4967a4-fa23-4fd4-9b80-398e292923ac,FILL,2026-03-03T19:30:51.84127Z,partial_fill,306.01,3,sell,TER,2,85c3e17a-46c9-4a49-ae24-19dc914454f5,37,partially_filled
20260303143051350::860f5ca2-bad0-42ae-9a3b-65137d876f63,FILL,2026-03-03T19:30:51.350935Z,partial_fill,306.01,18,sell,TER,5,85c3e17a-46c9-4a49-ae24-19dc914454f5,34,partially_filled
20260303143050701::eb97e0ad-a15c-4054-81c3-e4c5a7b38308,FILL,2026-03-03T19:30:50.701578Z,partial_fill,306.01,8,sell,TER,23,85c3e17a-46c9-4a49-ae24-19dc914454f5,16,partially_filled
20260303143050371::ed7bae1c-18f3-4bdc-bddc-0ddc2c499dbf,FILL,2026-03-03T19:30:50.37117Z,partial_fill,306.01,8,sell,TER,31,85c3e17a-46c9-4a49-ae24-19dc914454f5,8,partially_filled
20260303094356399::2be6bea3-0242-41bc-9585-c02c41107cec,FILL,2026-03-03T14:43:56.399054Z,fill,30.67,19,sell,OPCH,0,19424a02-8ee6-4f4f-92ee-69ecb7196e17,126,filled
20260303094356052::7f3c7acc-aa5a-48a7-a493-cc45e25e8d4f,FILL,2026-03-03T14:43:56.052452Z,fill,20.72,175,buy,BBVA,0,c43ede57-4538-447b-9678-07b253c763b0,218,filled
20260303094355769::def0c5d2-ea48-4d5a-a01c-f94b1e8796ab,FILL,2026-03-03T14:43:55.769932Z,partial_fill,30.67,107,sell,OPCH,19,19424a02-8ee6-4f4f-92ee-69ecb7196e17,107,partially_filled
20260303094355567::b753847b-2e73-4f56-a6d3-a2a8db44f579,FILL,2026-03-03T14:43:55.567463Z,fill,63.02,59,sell,BBIO,0,1539d01f-8682-4390-830d-7a0b261a527c,59,filled
20260303094355505::f059f7cb-9d0a-4168-b14b-c77cbc3a23b0,FILL,2026-03-03T14:43:55.505703Z,partial_fill,20.72,10,buy,BBVA,175,c43ede57-4538-447b-9678-07b253c763b0,43,partially_filled
20260303094354633::de8f3c87-2026-4d31-bc9a-3439cee50228,FILL,2026-03-03T14:43:54.633698Z,partial_fill,20.72,33,buy,BBVA,185,c43ede57-4538-447b-9678-07b253c763b0,33,partially_filled
20260303093332484::fedcac97-3766-4273-a540-cc1298fabce9,FILL,2026-03-03T14:33:32.484919Z,fill,14.01,105,sell,FLNC,0,ec2c111c-cc2e-41a4-b87b-e3b225856b29,286,filled
20260303093305500::7650e334-1f7b-4dc1-b54a-f537d67ceab6,FILL,2026-03-03T14:33:05.500852Z,fill,38.74,62,buy,UBS,0,fcc3302d-ccb1-4e7a-8b12-cc51fff75041,103,filled
20260303093247039::06a4678a-f916-48f1-bde1-d5ab93078a60,FILL,2026-03-03T14:32:47.039356Z,partial_fill,13.84,181,sell,FLNC,105,ec2c111c-cc2e-41a4-b87b-e3b225856b29,181,partially_filled
20260303093207556::3746dc0c-8b21-4ad1-9dcb-3d505cd7a24a,FILL,2026-03-03T14:32:07.556779Z,partial_fill,38.76,41,buy,UBS,62,fcc3302d-ccb1-4e7a-8b12-cc51fff75041,41,partially_filled
20260302101534433::3371c14e-41a5-4e2b-b827-48075c05efad,FILL,2026-03-02T15:15:34.433746Z,fill,321,39,buy,TER,0,4c73ee00-4766-444f-ae88-3218fe865497,39,filled
20260302101532493::42057ed6-bb5e-4786-a104-07cbf2d71214,FILL,2026-03-02T15:15:32.49379Z,fill,30.89,414,buy,HRB,0,d13ef2a3-b940-4d37-92f5-283c001070af,414,filled
20260302094528170::6f5cd022-8fd4-4ea5-a9c4-67795f7cbcf6,FILL,2026-03-02T14:45:28.170587Z,fill,40.8,29,sell,UBS,0,29cec6b6-d737-41b5-bc3b-d7b0af4f55fe,116,filled
20260302094527135::c6499d61-e324-4941-974d-a03b0cbe82d9,FILL,2026-03-02T14:45:27.135079Z,partial_fill,40.8,22,sell,UBS,29,29cec6b6-d737-41b5-bc3b-d7b0af4f55fe,87,partially_filled
20260302094526031::34f49cc6-cefb-4eb6-aad5-d008523f15bf,FILL,2026-03-02T14:45:26.03102Z,partial_fill,40.79,65,sell,UBS,51,29cec6b6-d737-41b5-bc3b-d7b0af4f55fe,65,partially_filled
20260302094427301::466367f1-e4fa-415d-be06-2ced87ff5c2e,FILL,2026-03-02T14:44:27.301851Z,fill,122.34,5,sell,BIDU,0,c7fceae5-74d1-4f87-ba5a-c538d498e20e,33,filled
20260302094426680::6e6a4c77-3b66-41b4-926e-1bd2466d4237,FILL,2026-03-02T14:44:26.680751Z,partial_fill,122.34,18,sell,BIDU,5,c7fceae5-74d1-4f87-ba5a-c538d498e20e,28,partially_filled
20260302094425202::18f7f5da-9e7b-451b-84d4-e52a625667ab,FILL,2026-03-02T14:44:25.202912Z,partial_fill,122.34,4,sell,BIDU,23,c7fceae5-74d1-4f87-ba5a-c538d498e20e,10,partially_filled
20260302094424457::aa6524d0-ef5e-46d5-b29e-ef3fade75336,FILL,2026-03-02T14:44:24.457661Z,partial_fill,122.34,6,sell,BIDU,27,c7fceae5-74d1-4f87-ba5a-c538d498e20e,6,partially_filled
20260302094423104::d775a14b-b745-4e05-9d48-75b801a88a97,FILL,2026-03-02T14:44:23.104136Z,fill,30.67,259,sell_short,HRB,0,7cb3caba-d1f2-434a-a96b-e51b13aef021,414,filled
20260302094422675::f005ef60-9b6a-43fe-897d-1e5f924a6178,FILL,2026-03-02T14:44:22.675429Z,partial_fill,30.67,155,sell_short,HRB,259,7cb3caba-d1f2-434a-a96b-e51b13aef021,155,partially_filled
20260227114439213::d457c52a-c076-4c94-a806-0aca5ae9fe05,FILL,2026-02-27T16:44:39.213746Z,fill,1.61,1,sell_short,BTU260327P00030000,0,33bd392a-7249-4734-ae88-1a2091625683,1,filled
20260227105432176::66fe0ead-b4d2-4975-9fec-225d116d7b76,FILL,2026-02-27T15:54:32.176888Z,fill,5.3,1,sell_short,RKLB260327P00065000,0,efddab1c-8769-4b63-9607-2f8419908a31,1,filled
20260227101722986::31323d54-0027-494d-9560-c67910982ace,FILL,2026-02-27T15:17:22.986745Z,fill,32.17,126,buy,OPCH,0,66b2e2e0-87d9-4626-8834-e37751799b62,126,filled
20260227101722580::f2303a46-99d1-40c6-a6fa-45db93304f09,FILL,2026-02-27T15:17:22.580548Z,fill,15.52,11,buy,FLNC,0,e5e79e2f-8b3a-455f-9c36-f9f2b6948b7f,286,filled
20260227101722411::4f6c3be7-5f1c-46b5-90e8-fd64adeaab95,FILL,2026-02-27T15:17:22.411396Z,partial_fill,15.52,27,buy,FLNC,11,e5e79e2f-8b3a-455f-9c36-f9f2b6948b7f,275,partially_filled
20260227101721857::188c66d4-0486-406f-9f71-b6408b2d8cae,FILL,2026-02-27T15:17:21.857565Z,partial_fill,15.52,61,buy,FLNC,38,e5e79e2f-8b3a-455f-9c36-f9f2b6948b7f,248,partially_filled
20260227101721645::eb9cb172-a5d5-444a-a2b4-81b38d2c91c6,FILL,2026-02-27T15:17:21.645009Z,fill,143.79,31,buy,BABA,0,309c6977-2da8-4128-8e83-d78a399011b0,32,filled
20260227101721222::baecfdb1-b917-4002-82bc-22d3d52a9bbb,FILL,2026-02-27T15:17:21.222993Z,partial_fill,15.52,187,buy,FLNC,99,e5e79e2f-8b3a-455f-9c36-f9f2b6948b7f,187,partially_filled
20260227101721018::360d8d56-277e-4944-800e-a3fa3e8a22d0,FILL,2026-02-27T15:17:21.018356Z,partial_fill,143.79,1,buy,BABA,31,309c6977-2da8-4128-8e83-d78a399011b0,1,partially_filled
20260227101618961::af426ec0-9956-4e95-9eeb-2e3339e61de1,FILL,2026-02-27T15:16:18.961503Z,fill,31.34,148,sell,LQDA,0,a201a391-21b4-4b6e-957e-49d79f6fd8e7,148,filled
20260227094505563::32302061-6181-4feb-bac5-8b17c53b6ae9,FILL,2026-02-27T14:45:05.563666Z,fill,67.29,191,buy,O,0,5c8233d3-f70d-4307-8025-722d52831f6e,191,filled
20260227094502845::5c422245-f9b3-4ddc-bd74-1635669a8cb0,FILL,2026-02-27T14:45:02.845122Z,fill,30.33,425,buy,SPSB,0,23946575-9ec7-4979-a9af-72ec6be798d8,425,filled
20260227093406913::0eab6947-e769-4f65-8daa-311eb6d0f37c,FILL,2026-02-27T14:34:06.91331Z,fill,103.12,1,buy,FLUT,0,342f56dd-bc22-4484-9835-69ff3e21642e,118,filled
20260227093353603::99c6bc3c-ddd4-4390-9442-fb33ab0d236f,FILL,2026-02-27T14:33:53.603878Z,partial_fill,103.23,37,buy,FLUT,1,342f56dd-bc22-4484-9835-69ff3e21642e,117,partially_filled
20260227093311960::50e8984a-162e-4535-831c-31de23d5429c,FILL,2026-02-27T14:33:11.960035Z,partial_fill,104.47,80,buy,FLUT,38,342f56dd-bc22-4484-9835-69ff3e21642e,80,partially_filled
20260227093148354::824b519e-1f98-4854-88c0-ae4e704222af,FILL,2026-02-27T14:31:48.354558Z,fill,102.98,118,sell_short,FLUT,0,209e23ba-0fbd-4040-972a-73c5f5dc1c7e,118,filled
20260226152403538::0b70440a-d183-4926-8e16-a1df25d8c520,FILL,2026-02-26T20:24:03.538266Z,fill,16.15,271,sell,FLNC,0,3244881d-d88b-4ad1-aecf-6166a5512c23,271,filled
20260226125557570::69e359e4-6b64-4d55-8033-d70191efb5da,FILL,2026-02-26T17:55:57.570568Z,fill,1.19,1,sell_short,RKT260327P00017000,0,2bf53dad-4342-4904-b051-a8665078a9f5,1,filled
20260226110054358::482e9611-bad3-43f7-a68b-d14fa3769252,FILL,2026-02-26T16:00:54.358625Z,fill,56.55,1,buy,FOXA,0,e906e538-f43e-48c3-b35b-42d0a0f90997,243,filled
20260226110053429::1ebbb960-d2ff-471d-bedc-36618eae6bc7,FILL,2026-02-26T16:00:53.429341Z,partial_fill,56.55,2,buy,FOXA,1,e906e538-f43e-48c3-b35b-42d0a0f90997,242,partially_filled
20260226110052999::0ce7f159-c237-4d61-ad3c-6c37fe991419,FILL,2026-02-26T16:00:52.99911Z,partial_fill,56.55,80,buy,FOXA,3,e906e538-f43e-48c3-b35b-42d0a0f90997,240,partially_filled
20260226110052339::560ae77a-ca0b-42c5-a2ce-24cb434bf453,FILL,2026-02-26T16:00:52.339794Z,partial_fill,56.55,81,buy,FOXA,83,e906e538-f43e-48c3-b35b-42d0a0f90997,160,partially_filled
20260226110051902::20764513-e394-4f5d-b12f-53110d52d31d,FILL,2026-02-26T16:00:51.902892Z,partial_fill,56.55,79,buy,FOXA,164,e906e538-f43e-48c3-b35b-42d0a0f90997,79,partially_filled
20260226104450964::916cb31b-5160-4388-aa6d-bbd6d9d3070b,FILL,2026-02-26T15:44:50.964283Z,fill,304.06,16,buy,GOOG,0,2d665701-00c1-4fba-871f-46e4db0c042f,16,filled
20260226103032961::60527aa1-8f0e-4abc-b410-3ba7e9047e9d,FILL,2026-02-26T15:30:32.961413Z,fill,5.2,1,sell_short,BA260327P00220000,0,f5f12f2b-3682-4410-8e14-1c34d4618fd0,1,filled
20260226095155828::3cb422e0-af69-4b86-869e-20c119064077,FILL,2026-02-26T14:51:55.828561Z,fill,6.1,1,sell_short,GOOG260327P00295000,0,e7b80571-dfd9-46a0-8c6f-84fa85f214e6,1,filled
20260226094521290::78a4f24f-a144-4eba-a80e-c8212609b185,FILL,2026-02-26T14:45:21.290214Z,fill,82.5,1,buy,GDDY,0,fc5a1d68-f2ac-4c4e-967f-e79a1007268b,169,filled
20260226094520392::2382ee67-3a21-4f22-a958-861ac4c1c573,FILL,2026-02-26T14:45:20.392766Z,partial_fill,82.5,8,buy,GDDY,1,fc5a1d68-f2ac-4c4e-967f-e79a1007268b,168,partially_filled
20260226094519145::a7a09d17-2f8e-4437-adf7-b3e8699d194c,FILL,2026-02-26T14:45:19.145507Z,partial_fill,82.5,11,buy,GDDY,9,fc5a1d68-f2ac-4c4e-967f-e79a1007268b,160,partially_filled
20260226094518722::730b4fac-a6a1-460e-9e44-58ae7a2b0549,FILL,2026-02-26T14:45:18.722626Z,partial_fill,82.5,149,buy,GDDY,20,fc5a1d68-f2ac-4c4e-967f-e79a1007268b,149,partially_filled
20260226093417186::2b310dfc-1fb2-4a0c-bee2-5ecb83c915be,FILL,2026-02-26T14:34:17.186338Z,fill,29.86,48,buy,LQDA,0,c33ac585-e480-4655-bd17-e7f551cfd402,148,filled
20260226093401517::8df79fe0-7861-4a78-a601-4f2bc3095ee1,FILL,2026-02-26T14:34:01.517993Z,fill,15.35,271,buy,FLNC,0,825f43ec-17b6-4695-bb83-06800964853f,271,filled
20260226093357383::c2624971-2902-407c-a316-ba939bfab242,FILL,2026-02-26T14:33:57.383747Z,partial_fill,29.86,100,buy,LQDA,48,c33ac585-e480-4655-bd17-e7f551cfd402,100,partially_filled
20260226093350388::50196754-fd04-4f8c-9f97-1df4db8b51e2,FILL,2026-02-26T14:33:50.388335Z,fill,15.3,1,sell,FLNC,0,a56b6b3c-7318-41ad-a570-7cd35350b48b,240,filled
20260226093339027::3562d075-51eb-400c-8f08-8de890554b8c,FILL,2026-02-26T14:33:39.027837Z,fill,29.45,128,sell,LQDA,0,1b662143-b999-4e2d-9451-087937b01cb5,128,filled
20260226093320993::8b526458-6d6f-4d21-87fa-a5d04bd64e2e,FILL,2026-02-26T14:33:20.993191Z,partial_fill,15.33,1,sell,FLNC,1,a56b6b3c-7318-41ad-a570-7cd35350b48b,239,partially_filled
20260226093305249::b88b4ac3-aaa8-42d5-9e08-69db8ebf56e2,FILL,2026-02-26T14:33:05.249964Z,fill,126.06,6,buy,BIDU,0,f37a9952-7efe-406b-9f1b-ac5fb64af4c7,33,filled
20260226093219872::5fa747b9-0cf1-401a-8e54-3b2c898d81d4,FILL,2026-02-26T14:32:19.872742Z,partial_fill,127.03,27,buy,BIDU,6,f37a9952-7efe-406b-9f1b-ac5fb64af4c7,27,partially_filled
20260226093119623::e37cef8c-adda-42c4-b3d4-4339cb9da670,FILL,2026-02-26T14:31:19.62349Z,partial_fill,15.31,238,sell,FLNC,2,a56b6b3c-7318-41ad-a570-7cd35350b48b,238,partially_filled
20260225143058363::033d5656-eb5f-4348-9023-83556ce50e61,FILL,2026-02-25T19:30:58.363257Z,fill,40.28,115,buy,SRLN,0,8c567f11-9af5-43fb-b1d6-ee364337838b,115,filled
20260225140017721::7a3d4e6b-6412-4ce5-8dfd-edfff3f76e4d,FILL,2026-02-25T19:00:17.721967Z,fill,41.43,89,buy,UBS,0,5086a6ce-0027-4f3a-807d-9868a4e8b993,116,filled
20260225140017050::d1deb528-5177-4f3e-95cf-377a6a9951e5,FILL,2026-02-25T19:00:17.050179Z,partial_fill,41.43,2,buy,UBS,89,5086a6ce-0027-4f3a-807d-9868a4e8b993,27,partially_filled
20260225140016328::81cc614f-7f6e-4141-b817-4273d287f082,FILL,2026-02-25T19:00:16.328613Z,partial_fill,41.43,25,buy,UBS,91,5086a6ce-0027-4f3a-807d-9868a4e8b993,25,partially_filled
20260225140015390::b0e5f86e-f5e0-439d-9db8-61416223f734,FILL,2026-02-25T19:00:15.390136Z,fill,63.9,59,buy,BBIO,0,488e91e2-f702-4638-abbe-284a26ae29fe,59,filled
20260225133658292::990b8bd8-1b3e-4d4b-a2cc-91ead9cb216f,FILL,2026-02-25T18:36:58.29271Z,fill,64.35,10,sell,BBIO,0,e9a2050d-4873-4082-aa51-a5c9bfb626ec,57,filled
20260225133657736::a9b3cef0-9938-48a0-aa01-ca3e9dac1191,FILL,2026-02-25T18:36:57.736123Z,partial_fill,64.35,2,sell,BBIO,10,e9a2050d-4873-4082-aa51-a5c9bfb626ec,47,partially_filled
20260225133657344::2b810330-28ca-4acd-9c21-4750f1e4cb8b,FILL,2026-02-25T18:36:57.344443Z,partial_fill,64.35,33,sell,BBIO,12,e9a2050d-4873-4082-aa51-a5c9bfb626ec,45,partially_filled
20260225133656588::199e0fbf-b4c8-4d64-85c7-0a0718f6bde7,FILL,2026-02-25T18:36:56.588091Z,partial_fill,64.49,12,sell,BBIO,45,e9a2050d-4873-4082-aa51-a5c9bfb626ec,12,partially_filled
20260225114502703::432263f2-532b-4764-a5c0-04f38d0e49e4,FILL,2026-02-25T16:45:02.703761Z,fill,16.43,240,buy,FLNC,0,59077e89-6a3c-47b0-abd9-0a92ac651ed8,240,filled
20260225114402765::1c3c91d2-b04e-40c0-97a2-c3a9564a0e1f,FILL,2026-02-25T16:44:02.765656Z,fill,66.63,1,buy,BBIO,0,ff459192-1a93-4879-bb3b-66834f198031,57,filled
20260225114401913::faa0aa8f-2d60-4b98-b3e1-9c259632b398,FILL,2026-02-25T16:44:01.913637Z,partial_fill,66.63,1,buy,BBIO,1,ff459192-1a93-4879-bb3b-66834f198031,56,partially_filled
20260225114400721::58f9d0e5-fdad-4f6b-9a04-09375f7b3fa5,FILL,2026-02-25T16:44:00.721374Z,partial_fill,66.63,3,buy,BBIO,2,ff459192-1a93-4879-bb3b-66834f198031,55,partially_filled
